"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"대덕구","계","합계",185904,26328,14492,10727,1109,21506,13787,6569,1150,62911,53561,7901,1449,22733,17343,2086,228,1342,1734,41579,26949,9761,221,2651,1997,4304,3153,723,363,65,969,558,219,171,21,5574
"울산광역시","계","합계",1065093,129065,57379,66484,5202,115727,71905,39389,4433,380205,326354,47151,6700,153435,121478,11667,1687,8319,10284,232130,171853,31740,1465,15992,11080,21472,15788,2721,2336,627,4744,3046,773,835,90,28315
"동부","계","합계",866578,101509,44474,53164,3871,94045,59088,31362,3595,311489,267373,38794,5322,127385,100776,9492,1486,6899,8732,190987,142701,24634,1219,13322,9111,16997,12657,1907,1915,518,3467,2314,424,645,84,20699
"읍부","계","합계",136440,18225,6717,10751,757,13528,6939,6134,455,46411,39201,6345,865,18824,15176,1349,154,1009,1136,31165,21663,5823,183,2052,1444,3413,2401,673,267,72,1090,601,336,153,-,3784
"면부","계","합계",62075,9331,6188,2569,574,8154,5878,1893,383,22305,19780,2012,513,7226,5526,826,47,411,416,9978,7489,1283,63,618,525,1062,730,141,154,37,187,131,13,37,6,3832
"중구","계","합계",220569,27538,14118,12164,1256,25796,17122,7523,1151,79214,68026,9603,1585,30579,23884,2599,328,1631,2137,46671,35308,5476,226,3403,2258,4528,3449,418,491,170,763,545,91,106,21,5480
"남구","계","합계",316544,32641,13468,18101,1072,32004,18979,11782,1243,108779,92905,14063,1811,45174,35399,3731,603,2696,2745,81258,59879,12268,547,5159,3405,8014,6098,882,854,180,2076,1388,227,422,39,6598
"동구","계","합계",158308,20311,9933,9620,758,19415,13877,4960,578,58998,51817,6224,957,23974,19495,1366,238,1047,1828,29462,22311,3138,255,2068,1690,2042,1474,261,222,85,248,163,57,24,4,3858
"북구","계","합계",171157,21019,6955,13279,785,16830,9110,7097,623,64498,54625,8904,969,27658,21998,1796,317,1525,2022,33596,25203,3752,191,2692,1758,2413,1636,346,348,83,380,218,49,93,20,4763
"울주군","계","합계",198515,27556,12905,13320,1331,21682,12817,8027,838,68716,58981,8357,1378,26050,20702,2175,201,1420,1552,41143,29152,7106,246,2670,1969,4475,3131,814,421,109,1277,732,349,190,6,7616
"세종특별자치시","계","합계",182967,29213,12878,15161,1174,15599,8402,6613,584,40501,34001,5733,767,20540,15778,2593,266,753,1150,54478,39308,11081,420,1857,1812,11482,8932,1282,1014,254,4082,2675,501,804,102,7072
